CRN,Subject,Title,Hours,Instructor,Days,Start Time,End Time,Location,Seats Available
10887,ENGR 1131 B,Programming & Computing Apps,3,"Salekeen, Sirajus",R,5:00 PM,6:40 PM,T,
10887,ENGR 1131 B,Programming & Computing Apps,3,"Salekeen, Sirajus",MW,5:00 PM,6:40 PM,T,
12445,ENGR 1731 A,Computing for Engineers,3,"Siddiqui, Salman",MW,10:10 AM,11:00 AM,T,
10398,ENVH 7232 A,Water Quality,3,"Aslan, Asli",TR,2:00 PM,3:15 PM,T,
10402,ENVH 7237 A,Risk Assessment and Comm,3,"Eremeeva, Marina",R,5:00 PM,7:45 PM,T,
10392,ENVH 7231 A,Air Quality,3,"Adhikari, Atin",M,2:30 PM,5:15 PM,T,
12122,ENVS 7110 VE,Integrative Environmental Sci,3,"Friedman, SarahSiccardi, AnthonyPerez, Rocio",TR,3:30 PM,4:45 PM,T,
10706,EPID 8130 A,Field Methods in Epidemiology,3,"Sullivan, Kelly",TR,11:00 AM,12:15 PM,T,
10708,EPID 9234 A,Interventional Epidemiology,3,"Sullivan, Kelly",TR,9:30 AM,10:45 AM,T,
10685,EPID 7133 A,Epid Res Meth I,3,"Cowan, Logan",TR,12:30 PM,1:45 PM,T,
10684,EPID 7131 A,Epid of Chronic Disease,3,"Zhang, Jian",M,6:30 PM,9:15 PM,T,
10865,EPID 9131 A,Interpersonal Infectious Dis,3,"Fung, Chun Hai",TR,12:30 PM,1:45 PM,T,
10705,EPID 7233 A,Public Health Surveillance,3,"Zhang, Jian",T,5:00 PM,7:45 PM,T,
11228,ESPY 8132 A,Addressing Diversity in School,3,"Sellers, Jabari",T,5:30 PM,8:15 PM,T,
11229,ESPY 8135 A,Crisis Intervention,3,"Sulkowski, Michael",R,5:30 PM,8:15 PM,T,
11225,ESPY 7132 A,Classrm-Based Perf & Psychom,3,"Diamanduros, Terry",R,5:30 PM,8:15 PM,T,
11227,ESPY 8131 A,Individual Intell. Asst.,3,"Sellers, Jabari",M,5:30 PM,8:15 PM,T,
11031,FILM 2200 01H,Introduction to Cinema,3,"Staff, Unknown",MWF,10:10 AM,11:00 AM,T,
11032,FILM 3331 01H,History of Cinema,3,"Goshorn, John",MWF,1:25 PM,2:15 PM,T,
12607,FINC 3131 F,Principles Corporate Finance,3,"Barkoulas, Ioannis",TR,11:00 AM,12:15 PM,T,
12622,FINC 4433 B,Real Estate Appraisal,3,"McPhail, Gin",TR,12:30 PM,1:45 PM,T,
12602,FINC 3131 A,Principles Corporate Finance,3,"Staff, Unknown",MW,2:30 PM,3:45 PM,T,
12609,FINC 3131 H,Principles Corporate Finance,3,"Barkoulas, Ioannis",TR,2:00 PM,3:15 PM,T,
12614,FINC 3231 B,Investments,3,"Hatem, John",MWF,11:15 AM,12:05 PM,T,
12611,FINC 3132 A,Intermed Financial Management,3,"Grossmann, Axel",TR,9:30 AM,10:45 AM,T,
12613,FINC 3231 A,Investments,3,"Hatem, John",MWF,10:10 AM,11:00 AM,T,
12603,FINC 3131 B,Principles Corporate Finance,3,"Staff, Unknown",MW,4:00 PM,5:15 PM,T,
12617,FINC 4231 A,Personal Financial Planning,3,"Frederick, Joshua",TR,12:30 PM,1:45 PM,T,
12612,FINC 3132 B,Intermed Financial Management,3,"Grossmann, Axel",TR,12:30 PM,1:45 PM,T,
12618,FINC 4231 B,Personal Financial Planning,3,"Frederick, Joshua",TR,2:00 PM,3:15 PM,T,
12608,FINC 3131 G,Principles Corporate Finance,3,"Huang, Qiping",TR,12:30 PM,1:45 PM,T,
12604,FINC 3131 C,Principles Corporate Finance,3,"Barkoulas, Ioannis",TR,9:30 AM,10:45 AM,T,
12616,FINC 3531 A,Prin of Risk and Insurance,3,"Frederick, Joshua",TR,11:00 AM,12:15 PM,T,
12621,FINC 4433 A,Real Estate Appraisal,3,"McPhail, Gin",TR,11:00 AM,12:15 PM,T,
12620,FINC 4431 B,Principles of Real Estate,3,"McPhail, Gin",MWF,10:10 AM,11:00 AM,T,
12605,FINC 3131 D,Principles Corporate Finance,3,"Hatem, John",TR,9:30 AM,10:45 AM,T,
12615,FINC 3331 A,Financial Institutions,3,"Zhang, Rongrong",TR,3:30 PM,4:45 PM,T,
12619,FINC 4431 A,Principles of Real Estate,3,"McPhail, Gin",MWF,9:05 AM,9:55 AM,T,
12610,FINC 3131 I,Principles Corporate Finance,3,"Huang, Qiping",TR,3:30 PM,4:45 PM,T,
13787,FMAD 3233 A,Visual Merchandising,3,"Kim, Yumin Gene",TR,9:30 AM,10:45 AM,T,
13786,FMAD 1234 B,Intro to Apparel Construction,3,"Spilinek, Melisa",TR,9:30 AM,12:00 PM,T,
12285,FMAD 3235 A,Fashion History,3,"Spilinek, Melisa",TR,2:00 PM,3:15 PM,T,
13795,FMAD 4630 A,Fashion Industry Career Prep,3,"Arnold, Kyler",TR,12:30 PM,1:45 PM,T,
12283,FMAD 4231 A,Pattern Making for Apparel,3,"Arnold, Kyler",MW,9:05 AM,11:35 AM,T,
12280,FMAD 1234 A,Intro to Apparel Construction,3,"Arnold, Kyler",MW,12:20 PM,2:50 PM,T,
11258,FREN 3336 11H,Francophone Cinema,3,"Amarie, Olga",MW,2:30 PM,3:45 PM,T,
11243,FREN 1001 A,Elementary French I,3,"Amarie, Olga",MW,12:20 PM,1:35 PM,T,
11265,FREN 1002 11H,Elementary French II,3,"Holley, William",TR,11:00 AM,12:15 PM,T,
11263,FREN 1001 11H,Elementary French I,3,"Holley, William",TR,9:30 AM,10:45 AM,T,
11541,GEOG 5090 A,Climate and Development,3,"Rosko, Helen",MW,10:10 AM,11:25 AM,T,
11765,GEOG 1130 G,World Regional Geography,3,"Womack, Chase",TR,2:00 PM,3:15 PM,T,
11764,GEOG 1130 F,World Regional Geography,3,"Womack, Chase",TR,11:00 AM,12:15 PM,T,
11763,GEOG 1130 E,World Regional Geography,3,"Womack, Chase",TR,8:00 AM,9:15 AM,T,
11542,GEOG 5090G A,Climate and Development,3,"Rosko, Helen",MW,10:10 AM,11:25 AM,T,
11762,GEOG 1130 D,World Regional Geography,3,"Womack, Chase",MW,10:10 AM,11:25 AM,T,
11570,GEOG 7541 A,GIS Application Social Science,4,"Tu, Wei",T,5:30 PM,8:15 PM,T,
11566,GEOG 5091 A,Applied GIS,4,"Rahman, Munshi",TR,11:00 AM,12:15 PM,T,
11566,GEOG 5091 A,Applied GIS,4,"Rahman, Munshi",TR,11:00 AM,12:15 PM,T,
11585,GEOG 1130 C,World Regional Geography,3,"Yarbrough, Robert",MW,12:20 PM,1:35 PM,T,
11571,GEOG 1130 B,World Regional Geography,3,"Rosko, Helen",MW,2:30 PM,3:45 PM,T,
11562,GEOG 3440 A,Intro to GIS and Cartography,4,"Hladik, Christine",TR,2:00 PM,3:15 PM,T,
11562,GEOG 3440 A,Intro to GIS and Cartography,4,"Hladik, Christine",TR,2:00 PM,3:15 PM,T,
11567,GEOG 5091G A,Applied GIS,4,"Rahman, Munshi",TR,11:00 AM,12:15 PM,T,
11567,GEOG 5091G A,Applied GIS,4,"Rahman, Munshi",TR,11:00 AM,12:15 PM,T,
11749,GEOG 4430 A,Geography of Europe,3,"Womack, Chase",MW,2:30 PM,3:45 PM,T,
11576,GEOL 1121 AB,Introduction to the Earth Lab,0,"Radko, Nicholas",W,2:30 PM,4:20 PM,T,
11741,GEOL 5142G AA,Strat/Sedimentation Lab,0,"Lo, Edward",R,12:30 PM,3:25 PM,T,
11583,GEOL 1340 BD,Environmental Geology Lab,0,"Staff, Unknown",R,11:00 AM,12:50 PM,T,
11575,GEOL 1121 AA,Introduction to the Earth Lab,0,"Staff, Unknown",F,10:10 AM,12:00 PM,T,
11559,GEOL 5142 AA,Strat/Sedimentation Lab,0,"Lo, Edward",R,12:30 PM,3:25 PM,T,
11528,GEOL 1122 AA,General Historical Geology Lab,0,"Smith, Kathlyn",M,10:10 AM,12:00 PM,T,
11532,GEOL 1340 AA,Environmental Geology Lab,0,"Reichard, James",W,10:10 AM,12:00 PM,T,
11558,GEOL 5142 A,Strat/Sedimentation,4,"Lo, Edward",MWF,12:20 PM,1:35 PM,T,
11556,GEOL 5130 A,Geochemistry,3,"Kelly, Jacque",MW,10:10 AM,11:25 AM,T,
11535,GEOL 1340 BA,Environmental Geology Lab,0,"Radko, Nicholas",T,8:00 AM,9:50 AM,T,
11581,GEOL 1340 AD,Environmental Geology Lab,0,"Staff, Unknown",W,2:30 PM,4:20 PM,T,
11539,GEOL 3542 AA,Petrology and Petrography Lab,0,"Vance, Robert",T,12:30 PM,3:25 PM,T,
11547,GEOL 1121 AC,Introduction to the Earth Lab,0,"Kelly, Jacque",W,12:20 PM,2:10 PM,T,
11051,GEOL 1340 B,Environmental Geology,4,"Radko, Nicholas",MW,12:20 PM,1:45 PM,T,
11522,GEOL 1530 A,Principles of Oceanography,3,"Cyronak, Tyler",TR,12:30 PM,1:45 PM,T,
11557,GEOL 5130G A,Geochemistry,3,"Kelly, Jacque",MW,10:10 AM,11:25 AM,T,
11582,GEOL 1340 BC,Environmental Geology Lab,0,"Radko, Nicholas",T,2:00 PM,3:50 PM,T,
11526,GEOL 1121 A,Introduction to the Earth,4,"Friedman, Sarah",MW,10:10 AM,11:25 AM,T,
11580,GEOL 1340 AC,Environmental Geology Lab,0,"Staff, Unknown",R,2:00 PM,3:50 PM,T,
11212,GEOL 3520 A,Field Methods,2,"Vance, Robert",MW,4:00 PM,5:15 PM,T,
11527,GEOL 1122 A,General Historical Geology,4,"Smith, Kathlyn",MWF,9:05 AM,9:55 AM,T,
11579,GEOL 1340 AB,Environmental Geology Lab,0,"Reichard, James",W,2:30 PM,4:20 PM,T,
11740,GEOL 5142G A,Strat/Sedimentation,4,"Lo, Edward",MWF,12:20 PM,1:35 PM,T,
11530,GEOL 1122 AB,General Historical Geology Lab,0,"Vance, Robert",M,12:20 PM,2:10 PM,T,
11054,GEOL 1340 A,Environmental Geology,4,"Reichard, James",TR,9:30 AM,10:45 AM,T,
11536,GEOL 1340 BB,Environmental Geology Lab,0,"Radko, Nicholas",T,11:00 AM,12:50 PM,T,
11537,GEOL 3542 A,Petrology and Petrography,4,"Vance, Robert",MWF,9:05 AM,9:55 AM,T,
11572,GEOS 4120 A,Introduction to Research,3,"Hladik, ChristineFriedman, Sarah",TR,9:30 AM,10:45 AM,T,
11560,GEOS 2001 A,Survey of Geosciences,1,"Kelly, Jacque",M,2:30 PM,3:50 PM,T,
10682,GRMN 1001 A,Elementary German I,3,"Johnson, Catherine",TR,2:00 PM,3:15 PM,T,
13196,GSU 2132 H,Professional Development Smnr,3,"Frankosky, Kelly",T,12:30 PM,1:45 PM,T,
13198,GSU 2132 H2,Professional Development Smnr,3,"Frankosky, Kelly",W,11:15 AM,12:30 PM,T,
13192,GSU 2131 H,Career Exploration,3,"Frankosky, Kelly",M,12:20 PM,1:35 PM,T,
13194,GSU 2131 H2,Career Exploration,3,"Frankosky, Kelly",T,11:00 AM,12:15 PM,T,
12322,HDFS 4131 AL,Teaching Preschool,0,"Staff, Unknown",W,3:00 PM,5:00 PM,T,
12304,HDFS 2137 A,Lifespan Development,3,"Hall, Alice",MWF,11:15 AM,12:05 PM,T,
12312,HDFS 4131 AB,Teaching Preschool,0,"Staff, Unknown",T,8:00 AM,10:00 AM,T,
12310,HDFS 4131 A,Teaching Preschool,3,"Staff, Unknown",TR,12:30 PM,1:45 PM,T,
12317,HDFS 4131 AG,Teaching Preschool,0,"Staff, Unknown",T,10:00 AM,12:00 PM,T,
12324,HDFS 4131 AN,Teaching Preschool,0,"Staff, Unknown",R,3:00 PM,5:00 PM,T,
12309,HDFS 3234 A,Children with Special Needs,3,"Gregg, Katy",TR,2:00 PM,3:15 PM,T,
12321,HDFS 4131 AK,Teaching Preschool,0,"Staff, Unknown",M,3:00 PM,5:00 PM,T,
12320,HDFS 4131 AJ,Teaching Preschool,0,"Staff, Unknown",F,10:00 AM,12:00 PM,T,
12306,HDFS 3138 A,Professional Seminar in HDFS,3,"Gregg, Katy",TR,11:00 AM,12:15 PM,T,
12318,HDFS 4131 AH,Teaching Preschool,0,"Staff, Unknown",W,10:00 AM,12:00 PM,T,
12294,HDFS 2135 A,Child Development,3,"Maurer, Trent",TR,11:00 AM,12:15 PM,T,
12325,HDFS 4131 AO,Teaching Preschool,0,"Staff, Unknown",F,3:00 PM,5:00 PM,T,
12314,HDFS 4131 AD,Teaching Preschool,0,"Staff, Unknown",R,8:00 AM,10:00 AM,T,
12313,HDFS 4131 AC,Teaching Preschool,0,"Staff, Unknown",W,8:00 AM,10:00 AM,T,
12316,HDFS 4131 AF,Teaching Preschool,0,"Staff, Unknown",M,10:00 AM,12:00 PM,T,
